experiment,sweep_variable,sweep_value,method,metric,mean,std,sem,n_seeds,n_frames
ber_vs_L,L,10,IEKF,BER_pct,0.13151041666666666,0.09500212728338274,0.017344936041361905,30,100
ber_vs_L,L,10,GN,BER_pct,0.13619791666666667,0.16491202838190647,0.030108679316234118,30,100
ber_vs_L,L,10,DU-tun,BER_pct,0.09192708333333334,0.025088006987763208,0.004580422450015048,30,100
ber_vs_L_multiSNR,L,1,DU_SNR0,BER_pct,22.721484375,2.7709697152516473,0.6196076646895918,20,100
ber_vs_L_multiSNR,L,2,DU_SNR0,BER_pct,19.303125,1.1740776175164591,0.26253173636278004,20,100
ber_vs_L_multiSNR,L,4,DU_SNR0,BER_pct,17.425,1.0419174828246356,0.23297983185413546,20,100
ber_vs_L_multiSNR,L,6,DU_SNR0,BER_pct,16.779296875,0.5241650435882975,0.11720686688925736,20,100
ber_vs_L_multiSNR,L,8,DU_SNR0,BER_pct,16.612109375,0.4514197100688804,0.10094051580972628,20,100
ber_vs_L_multiSNR,L,1,DU_SNR5,BER_pct,11.741015625,3.1019533709545297,0.693617860048895,20,100
ber_vs_L_multiSNR,L,2,DU_SNR5,BER_pct,7.71796875,1.5060990507220757,0.3367739858262465,20,100
ber_vs_L_multiSNR,L,4,DU_SNR5,BER_pct,4.81015625,0.8122599555262852,0.18162684759577294,20,100
ber_vs_L_multiSNR,L,6,DU_SNR5,BER_pct,4.089453125,0.27907661769650616,0.062403428810010854,20,100
ber_vs_L_multiSNR,L,8,DU_SNR5,BER_pct,3.9546875,0.20626479587080537,0.046122210493223875,20,100
ber_vs_L_multiSNR,L,1,DU_SNR10,BER_pct,7.613671875,3.2225870967959187,0.7205923811849368,20,100
ber_vs_L_multiSNR,L,2,DU_SNR10,BER_pct,6.99609375,15.030035135579617,3.360818026736629,20,100
ber_vs_L_multiSNR,L,4,DU_SNR10,BER_pct,0.808984375,0.6491405967926339,0.14515225013831112,20,100
ber_vs_L_multiSNR,L,6,DU_SNR10,BER_pct,0.1765625,0.23886838524331763,0.05341259470796658,20,100
ber_vs_L_multiSNR,L,8,DU_SNR10,BER_pct,0.152734375,0.21417473962117214,0.04789092768562585,20,100
ber_vs_L_multiSNR,L,1,DU_SNR15,BER_pct,7.264453125,3.3781897497191338,0.7553861921264984,20,100
ber_vs_L_multiSNR,L,2,DU_SNR15,BER_pct,3.393359375,1.016346723732505,0.227262036297508,20,100
ber_vs_L_multiSNR,L,4,DU_SNR15,BER_pct,0.53203125,0.45377714385925444,0.10146765403049941,20,100
ber_vs_L_multiSNR,L,6,DU_SNR15,BER_pct,0.000390625,0.0017026948998205753,0.0003807341540941001,20,100
ber_vs_L_multiSNR,L,8,DU_SNR15,BER_pct,0.0,0.0,0.0,20,100
ber_vs_L_multiSNR,L,1,DU_SNR20,BER_pct,7.361328125,3.7194687092712644,0.8316984874113948,20,100
ber_vs_L_multiSNR,L,2,DU_SNR20,BER_pct,6.658984375,14.864021576298061,3.323696266362604,20,100
ber_vs_L_multiSNR,L,4,DU_SNR20,BER_pct,0.512109375,0.5749037952382093,0.1285523966675256,20,100
ber_vs_L_multiSNR,L,6,DU_SNR20,BER_pct,1.0234375,4.234287072426567,0.9468153730194379,20,100
ber_vs_L_multiSNR,L,8,DU_SNR20,BER_pct,0.0,0.0,0.0,20,100
ber_vs_pslip,p_slip,0.0,EKF,BER_pct,0.09140625,0.027149608412998644,0.0049568176517437975,30,100
ber_vs_pslip,p_slip,0.0,IEKF-4,BER_pct,0.09479166666666666,0.028792239502260942,0.005256719685493212,30,100
ber_vs_pslip,p_slip,0.0,GN-6,BER_pct,0.09036458333333333,0.026660613326617018,0.004867539771970329,30,100
ber_vs_pslip,p_slip,0.0,DU-tun-6,BER_pct,0.08984375,0.0251743594237437,0.0045961881757090595,30,100
ber_vs_pslip,p_slip,0.01,EKF,BER_pct,3.2763020833333334,4.849780135616849,0.8854446597392707,30,100
ber_vs_pslip,p_slip,0.01,IEKF-4,BER_pct,0.5794270833333334,0.6380444829800542,0.11649045200663224,30,100
ber_vs_pslip,p_slip,0.01,GN-6,BER_pct,0.27630208333333334,0.36589134781669547,0.06680231493172424,30,100
ber_vs_pslip,p_slip,0.01,DU-tun-6,BER_pct,0.17135416666666667,0.32278601187443906,0.058932393316920226,30,100
ber_vs_pslip,p_slip,0.03,EKF,BER_pct,6.90625,4.706815239683924,0.8593429602613234,30,100
ber_vs_pslip,p_slip,0.03,IEKF-4,BER_pct,1.11015625,1.0107924894387221,0.1845446158074635,30,100
ber_vs_pslip,p_slip,0.03,GN-6,BER_pct,0.35104166666666664,0.485419460828868,0.08862506284932213,30,100
ber_vs_pslip,p_slip,0.03,DU-tun-6,BER_pct,0.10989583333333333,0.10115972484420643,0.018469154402729213,30,100
ber_vs_pslip,p_slip,0.05,EKF,BER_pct,10.67265625,4.945197450445557,0.9028653983086891,30,100
ber_vs_pslip,p_slip,0.05,IEKF-4,BER_pct,1.7177083333333334,1.0807989435305743,0.19732598716648259,30,100
ber_vs_pslip,p_slip,0.05,GN-6,BER_pct,0.48880208333333336,0.4485431211512646,0.08189239515610673,30,100
ber_vs_pslip,p_slip,0.05,DU-tun-6,BER_pct,0.16458333333333333,0.21068593538263428,0.03846581311938154,30,100
ber_vs_pslip,p_slip,0.1,EKF,BER_pct,25.361979166666668,17.472693112727217,3.190062719401951,30,100
ber_vs_pslip,p_slip,0.1,IEKF-4,BER_pct,3.3036458333333334,1.5474230054834086,0.28251949536856774,30,100
ber_vs_pslip,p_slip,0.1,GN-6,BER_pct,1.0578125,0.904626779050344,0.1651614976697051,30,100
ber_vs_pslip,p_slip,0.1,DU-tun-6,BER_pct,0.42734375,0.4823257642959225,0.08806023372359886,30,100
ber_vs_pslip,p_slip,0.15,EKF,BER_pct,29.659375,14.110670621576602,2.576244200320983,30,100
ber_vs_pslip,p_slip,0.15,IEKF-4,BER_pct,9.596354166666666,13.255682088783246,2.420145365047927,30,100
ber_vs_pslip,p_slip,0.15,GN-6,BER_pct,1.76328125,0.9636018069632355,0.1759288153755009,30,100
ber_vs_pslip,p_slip,0.15,DU-tun-6,BER_pct,0.5893229166666667,0.5177028970413771,0.09451918493177891,30,100
ber_vs_adc,adc_bits,2,EKF,BER_pct,13.38671875,11.037473853236182,2.0151578024303074,30,100
ber_vs_adc,adc_bits,2,IEKF-4,BER_pct,2.04296875,1.0745444581976258,0.19618407959900222,30,100
ber_vs_adc,adc_bits,2,GN-6,BER_pct,0.67265625,0.6921961707037818,0.12637715230438598,30,100
ber_vs_adc,adc_bits,2,DU-tun-6,BER_pct,0.30364583333333334,0.3711594422848787,0.06776413299015495,30,100
ber_vs_adc,adc_bits,3,EKF,BER_pct,11.46875,6.456391992327739,1.178770511431208,30,100
ber_vs_adc,adc_bits,3,IEKF-4,BER_pct,1.7341145833333333,1.118169519106652,0.2041488895764724,30,100
ber_vs_adc,adc_bits,3,GN-6,BER_pct,0.49583333333333335,0.4343203527775385,0.07929568479995312,30,100
ber_vs_adc,adc_bits,3,DU-tun-6,BER_pct,0.17083333333333334,0.18404734893310892,0.03360229488656271,30,100
ber_vs_adc,adc_bits,4,EKF,BER_pct,10.671614583333334,4.945559533116008,0.9029315052574517,30,100
ber_vs_adc,adc_bits,4,IEKF-4,BER_pct,1.7177083333333334,1.0807989435305743,0.19732598716648259,30,100
ber_vs_adc,adc_bits,4,GN-6,BER_pct,0.4901041666666667,0.45156850726492453,0.08244475256264489,30,100
ber_vs_adc,adc_bits,4,DU-tun-6,BER_pct,0.16536458333333334,0.21237055008294986,0.03877338027673742,30,100
ber_vs_adc,adc_bits,5,EKF,BER_pct,10.462760416666667,4.300907995281446,0.7852347755899902,30,100
ber_vs_adc,adc_bits,5,IEKF-4,BER_pct,1.6833333333333333,1.0784716632680813,0.19690108586734795,30,100
ber_vs_adc,adc_bits,5,GN-6,BER_pct,0.47942708333333334,0.44834259363984297,0.08185578400897141,30,100
ber_vs_adc,adc_bits,5,DU-tun-6,BER_pct,0.15260416666666668,0.20843161744156177,0.03805423285667687,30,100
ber_vs_adc,adc_bits,6,EKF,BER_pct,10.39765625,4.181494620047594,0.7634329758288537,30,100
ber_vs_adc,adc_bits,6,IEKF-4,BER_pct,1.6533854166666666,1.0816489873302402,0.19748118322113073,30,100
ber_vs_adc,adc_bits,6,GN-6,BER_pct,1.4106770833333333,3.7343514008000263,0.6817961666230633,30,100
ber_vs_adc,adc_bits,6,DU-tun-6,BER_pct,0.12604166666666666,0.13329772473729207,0.024336723567576417,30,100
ber_vs_adc,adc_bits,8,EKF,BER_pct,10.39375,4.158985237185268,0.759323343579115,30,100
ber_vs_adc,adc_bits,8,IEKF-4,BER_pct,1.6294270833333333,1.0819935186963314,0.19754408575478946,30,100
ber_vs_adc,adc_bits,8,GN-6,BER_pct,1.0158854166666667,3.0000912009610983,0.547739208446386,30,100
ber_vs_adc,adc_bits,8,DU-tun-6,BER_pct,0.11901041666666666,0.11190677165629755,0.020431287724577977,30,100
phase_rmse_vs_fd,frame_duration_us,50.0,EKF,Phase_RMSE,0.9873286190002536,0.31127727420088275,0.05683119490618145,30,100
phase_rmse_vs_fd,frame_duration_us,50.0,GN-6,Phase_RMSE,0.14773345696799817,0.08578464936788766,0.015662062515487785,30,100
phase_rmse_vs_fd,frame_duration_us,50.0,DU-tun-6,Phase_RMSE,0.06736458040794066,0.02702100191910808,0.004933337425828626,30,100
phase_rmse_vs_fd,frame_duration_us,100.0,EKF,Phase_RMSE,0.8514064460915484,0.19041089344171855,0.03476411384424725,30,100
phase_rmse_vs_fd,frame_duration_us,100.0,GN-6,Phase_RMSE,0.13319893891555667,0.09064948118793496,0.016550255224257394,30,100
phase_rmse_vs_fd,frame_duration_us,100.0,DU-tun-6,Phase_RMSE,0.06741561071009468,0.05200317358556631,0.009494437078223826,30,100
phase_rmse_vs_fd,frame_duration_us,200.0,EKF,Phase_RMSE,0.7569940174703798,0.17426658147609125,0.0318165792312557,30,100
phase_rmse_vs_fd,frame_duration_us,200.0,GN-6,Phase_RMSE,0.08931264948393726,0.0723608918275565,0.01321123091171464,30,100
phase_rmse_vs_fd,frame_duration_us,200.0,DU-tun-6,Phase_RMSE,0.05406857496299246,0.03164329618130037,0.005777249037438432,30,100
phase_rmse_vs_fd,frame_duration_us,500.0,EKF,Phase_RMSE,0.7057874602468878,0.32742224424410704,0.059778849667154486,30,100
phase_rmse_vs_fd,frame_duration_us,500.0,GN-6,Phase_RMSE,0.08829883624413155,0.07247345316639785,0.013231781706510102,30,100
phase_rmse_vs_fd,frame_duration_us,500.0,DU-tun-6,Phase_RMSE,0.06073944719015264,0.029798451700357456,0.0054404280583379835,30,100
phase_rmse_vs_fd,frame_duration_us,1000.0,EKF,Phase_RMSE,0.7677427298679417,0.2508078503818286,0.045791039084502744,30,100
